Num,Link
1,https://swa.co.id/swa/trends/marketing-outlook-2020-dan-strategi-menghadapinya
2,https://swa.co.id/swa/trends/technology-leadership-jadi-kunci-pelindo-iii-memenangkan-persaingan
3,https://swa.co.id/swa/trends/marketing/corporate-brand-value-penting-bagi-kalbe-farma
4,https://swa.co.id/swa/trends/ranking-eodb-naik-potensi-indonesia-tarik-investor-startup
5,https://swa.co.id/swa/trends/business-research/brands-of-choice-in-pandemic-era
6,https://swa.co.id/swa/trends/business-research/nps-soroti-aspek-paintful-boring-experience
7,https://swa.co.id/covid19/kino-cepat-tanggap-menekan-penyebaran-covid-19
8,https://swa.co.id/covid19/pan-brothers-berlakukan-dua-shift-kerja-demi-hindari-potensi-covid-19
9,https://swa.co.id/covid19/lapakganjar-agar-umkm-bangkit-dari-ancaman-covid
10,https://swa.co.id/covid19/terobosan-grup-wings-terapkan-protokol-kesehatan
11,https://swa.co.id/covid19/cara-nicola-reza-samudra-amankan-karyawan-di-tengah-pandemi
12,https://swa.co.id/covid19/pemerintah-dukung-inisiatif-swasta-produksi-vaksin
13,https://swa.co.id/covid19/__trashed-40
14,https://swa.co.id/covid19/antisipasi-kemenkes-akibat-lonjakan-kasus-dan-klaster-baru
15,https://swa.co.id/covid19/menparekraf-pastikan-penerapan-sertifikasi-chse-berjalan
16,https://swa.co.id/covid19/perusahaan-ini-kembangkan-ammdes-untuk-cegah-penyebaran-covid-19
17,https://swa.co.id/covid19/pemerintah-gencarkan-tracing-dan-testing-kerumuman-kegiatan-di-3-provinsi-ini
18,https://swa.co.id/covid19/dorong-ekonomi-saat-pandemi-agung-podomoro-kebut-proyek-di-jawa-barat
19,https://swa.co.id/covid19/geliat-petani-milenial-di-masa-pandemi
20,https://swa.co.id/covid19/kak-seto-perlu-pendekatan-khusus-ajarkan-protokol-3m-pada-anak-anak
21,https://swa.co.id/covid19/ukm-perlu-solusi-teknologi-untuk-rebound-pasca-covid
22,https://swa.co.id/covid19/survei-74-masyarakat-kelas-atas-bersedia-membayar-vaksin-covid-19
23,https://swa.co.id/covid19/the-papandayan-hotel-bandung-lolos-sertifikasi-chse
24,https://swa.co.id/covid19/sekarang-tes-swab-gratis-di-puskesmas
25,https://swa.co.id/covid19/jelang-pilkada-kpu-cermati-protokol-kesehatan
26,https://swa.co.id/covid19/peran-orang-tua-sangat-penting-pada-persiapan-proses-belajar-tatap-muka
27,https://swa.co.id/covid19/ahli-pembuatan-vaksin-covid-19-diawasi-ketat-untuk-memastikan-keamanannya
28,https://swa.co.id/covid19/banpres-untuk-usaha-mikro-terdampak-pandemi-dipercepat-penyerapannya
29,https://swa.co.id/covid19/simulasi-mulai-berjalan-presiden-pastikan-vaksinasi-resmi-covid-19-dimulai-desember-2020
30,https://swa.co.id/covid19/psbb-transisi-dki-jakarta-kembali-diperpanjang
31,https://swa.co.id/covid19/urban-farming-untuk-mencukupi-kebutuhan-gizi-di-era-pandemi
32,https://swa.co.id/covid19/80-responden-menengah-atas-bersedia-membayar-vaksin-covid-19-di-atasrp-100-ribu
33,https://swa.co.id/covid19/presiden-tinjau-pelaksanaan-simulasi-vaksinasi-covid-19-di-bogor
34,https://swa.co.id/covid19/jamin-keselamatan-pengunjung-twc-terapkan-standardisasi-ketat
35,https://swa.co.id/covid19/update-pemeriksaan-pelacakan-dan-perawatan-covid-19-setelah-kerumunan-massa
36,https://swa.co.id/covid19/113-pasien-covid-19-adalah-anak-anak
37,https://swa.co.id/covid19/penyelenggaraan-mice-dan-event-harus-terapkan-protokol-chse
38,https://swa.co.id/covid19/bekasi-jadi-lokasi-kedua-simulasi-vaksinasi-covid-19
39,https://swa.co.id/covid19/garuda-indonesia-raih-penghargaan-sebagai-maskapai-dengan-standar-protokol-kesehatan-dan-keamanan-terbaik-dunia
40,https://swa.co.id/covid19/sekolah-tatap-muka-dimulai-januari-2021-peran-bidang-kesehatan-ditingkatkan
41,https://swa.co.id/covid19/perkembangan-covid-19-di-wilayah-dki-jakarta
42,https://swa.co.id/covid19/pilkada-sehat-di-masa-pandemi
43,https://swa.co.id/covid19/ini-potret-kesediaan-pengguna-asuransi-menerima-vaksin-19
44,https://swa.co.id/covid19/protokol-covid-dana-produktivitas-meningkat-dengan-wfh
45,https://swa.co.id/covid19/putus-penularan-covid-19-dengan-3t
46,https://swa.co.id/covid19/kepala-bnpb-pengungsian-merapi-harus-siap-sistem-keamanan-covid-19
47,https://swa.co.id/swa/business-update/catapa/catapa-memperkaya-paket-catapa-reimbursement-dengan-teknologi-ocr
48,https://swa.co.id/swa/business-update/catapa-luncurkan-solusi-penggajian-gratis-untuk-umkm
49,https://swa.co.id/covid19/efektivitas-3t-dan-3m-untuk-memutus-rantai-covid-19
50,https://swa.co.id/covid19/kemendikbud-umumkan-panduan-pembelajaran-tatap-muka-di-masa-covid-19
51,https://swa.co.id/covid19/kelas-menengah-atas-lebih-banyak-yang-bersedia-menerima-vaksin-covid-19
52,https://swa.co.id/covid19/mengelola-keuangan-tetap-sehat-ditengah-resesi
53,https://swa.co.id/covid19/relawan-satgas-covid-19-dipastikan-tetap-solid-dalam-bertugas
54,https://swa.co.id/covid19/ini-tips-liburan-aman-dan-nyaman-di-tengah-pandemi-ala-tokopedia
55,https://swa.co.id/covid19/inovasi-uv-c-kian-marak-di-tengah-pandemi-covid-19
56,https://swa.co.id/covid19/bnpb-latih-1-000-relawan-covid-di-sulawesi-selatan
57,https://swa.co.id/covid19/pembelajaran-tatap-muka-tergantung-penangan-covid-19-daerah
58,https://swa.co.id/covid19/mengusir-rasa-bosan-dan-tetap-poduktif-dirumah
59,https://swa.co.id/covid19/satgas-di-daerah-jadi-kunci-penanganan-covid-19-berjalan-baik
60,https://swa.co.id/covid19/memahami-jenis-vaksin-berdasarkan-bahan
61,https://swa.co.id/covid19/ada-75-bahasa-daerah-digunakan-dalam-sosialisasi-prokes-covid-19
62,https://swa.co.id/covid19/cara-nutrifood-menjaga-kesehatan-bisnis-dan-karyawan
